Tip Propri;Tip strada;Denumire s;Suprafata ;Suprafata ;Suprafata teren;Pret tranz;Data tranz;Sursa fina,,,,,
Cladire;Alee;PANTELIMON;16,6300;0,0000;0,0000;74000,0000;28.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,1200;0,0000;0,0000;85000,0000;12.04.2023;Surse proprii,
Cladire;Alee;PANTELIMON;28,0000;0,0000;0,0000;135000,0000;27.04.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,8900;0,0000;0,0000;106571,0000;13.06.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,9200;0,0000;0,0000;40000,0000;23.08.2022;Surse proprii,
Cladire;Alee;PANTELIMON;16,5000;0,0000;0,0000;98526,0000;05.08.2022;Surse proprii,
Cladire;Alee;PANTELIMON;17,1300;0,0000;0,0000;56511,0000;21.12.2022;Surse proprii,
Cladire;Alee;PANTELIMON;16,3100;0,0000;0,0000;128260,0000;26.07.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,9200;0,0000;0,0000;154343,0000;03.03.1995;Surse proprii,
Cladire;Alee;PANTELIMON;27,7000;0,0000;0,0000;138639,0000;11.07.2023;Surse proprii,
Cladire;Alee;PANTELIMON;27,7800;0,0000;0,0000;154083,0000;17.11.2023;Surse proprii,
Cladire;Alee;PANTELIMON;27,3600;0,0000;0,0000;150000,0000;07.02.2023;Surse proprii,
Cladire;Alee;PANTELIMON;28,1000;0,0000;0,0000;49489,0000;28.03.2022;Surse proprii,
Cladire;Alee;PANTELIMON;14,7000;0,0000;0,0000;84000,0000;23.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,8000;0,0000;0,0000;79048,0000;24.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;27,4000;0,0000;0,0000;148896,0000;08.09.2023;Surse proprii,
Cladire;Alee;PANTELIMON;28,0600;0,0000;0,0000;156227,0000;20.06.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,8100;0,0000;0,0000;106152,0000;23.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;15,9200;0,0000;0,0000;74587,0000;29.11.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,3000;0,0000;0,0000;79470,0000;01.11.2023;Mixt,
Cladire;Alee;PANTELIMON;14,8600;0,0000;0,0000;91018,1500;19.12.2022;Surse proprii,
Cladire;Alee;PANTELIMON;0,0000;15,5700;0,0000;98833,0000;08.05.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,1100;0,0000;0,0000;98200,0000;12.12.2022;Surse proprii,
Cladire;Alee;PANTELIMON;16,3200;0,0000;0,0000;106769,0000;13.09.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,9100;0,0000;0,0000;93484,0000;10.05.2023;Surse proprii,
Cladire;Alee;PANTELIMON;27,3000;0,0000;0,0000;119479,0000;22.05.2023;Surse proprii,
Cladire;Alee;PANTELIMON;27,9100;0,0000;0,0000;108490,0000;14.12.2022;Surse proprii,
Cladire;Alee;PANTELIMON;28,6000;0,0000;0,0000;123692,0000;10.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;28,0000;0,0000;0,0000;143600,0000;11.10.2023;Surse proprii,
Cladire;Alee;PANTELIMON;14,5300;0,0000;0,0000;89307,0000;07.09.2023;Surse proprii,
Cladire;Alee;PANTELIMON;14,7400;0,0000;0,0000;88767,0000;11.04.2023;Surse proprii,
Cladire;Alee;PANTELIMON;14,8000;0,0000;0,0000;83640,0000;26.07.2023;Surse proprii,
